# time  ID  size  fromHost  toHost  TTL  isResponse
416.0000 M416 500000 p32 p27 240 N 
417.0000 M417 500000 p35 t45 240 N 
418.0000 M418 500000 t50 p1 240 N 
419.0000 M419 500000 p11 p32 240 N 
420.0000 M420 500000 p37 p24 240 N 
421.0000 M421 500000 p21 t46 240 N 
422.0000 M422 500000 t75 p14 240 N 
423.0000 M423 500000 p38 p28 240 N 
424.0000 M424 500000 t72 p31 240 N 
425.0000 M425 500000 p5 t74 240 N 
426.0000 M426 500000 p24 p18 240 N 
427.0000 M427 500000 p6 t74 240 N 
428.0000 M428 500000 p29 p36 240 N 
429.0000 M429 500000 t50 t60 240 N 
430.0000 M430 500000 t54 t41 240 N 
431.0000 M431 500000 t44 p32 240 N 
432.0000 M432 500000 p6 p5 240 N 
433.0000 M433 500000 p4 t73 240 N 
434.0000 M434 500000 p34 p17 240 N 
435.0000 M435 500000 t75 t59 240 N 
436.0000 M436 500000 t63 t56 240 N 
437.0000 M437 500000 t62 t56 240 N 
438.0000 M438 500000 p18 t56 240 N 
439.0000 M439 500000 p34 t70 240 N 
440.0000 M440 500000 p33 p21 240 N 
441.0000 M441 500000 p26 t48 240 N 
442.0000 M442 500000 p30 p16 240 N 
443.0000 M443 500000 t72 p8 240 N 
444.0000 M444 500000 t45 t48 240 N 
445.0000 M445 500000 t69 p0 240 N 
446.0000 M446 500000 p37 t44 240 N 
447.0000 M447 500000 t65 p30 240 N 
448.0000 M448 500000 t68 p20 240 N 
449.0000 M449 500000 t61 t50 240 N 
450.0000 M450 500000 p12 t67 240 N 
451.0000 M451 500000 p12 p36 240 N 
452.0000 M452 500000 t52 p13 240 N 
453.0000 M453 500000 p2 p36 240 N 
454.0000 M454 500000 p1 t40 240 N 
455.0000 M455 500000 p10 p22 240 N 
456.0000 M456 500000 p38 p12 240 N 
457.0000 M457 500000 t67 t62 240 N 
458.0000 M458 500000 t78 p37 240 N 
459.0000 M459 500000 t41 t49 240 N 
460.0000 M460 500000 t57 t63 240 N 
461.0000 M461 500000 t40 t72 240 N 
462.0000 M462 500000 p30 t68 240 N 
463.0000 M463 500000 p22 p34 240 N 
464.0000 M464 500000 p20 t74 240 N 
465.0000 M465 500000 t49 p11 240 N 
466.0000 M466 500000 p31 p29 240 N 
467.0000 M467 500000 p37 t67 240 N 
468.0000 M468 500000 p32 p38 240 N 
469.0000 M469 500000 p28 t57 240 N 
470.0000 M470 500000 p24 t51 240 N 
471.0000 M471 500000 p8 p21 240 N 
472.0000 M472 500000 p16 t41 240 N 
473.0000 M473 500000 t66 t56 240 N 
474.0000 M474 500000 t55 t44 240 N 
475.0000 M475 500000 t49 p5 240 N 
476.0000 M476 500000 t43 p2 240 N 
477.0000 M477 500000 p28 p32 240 N 
478.0000 M478 500000 p27 t51 240 N 
479.0000 M479 500000 t56 t47 240 N 
480.0000 M480 500000 p24 p26 240 N 
481.0000 M481 500000 t56 p14 240 N 
482.0000 M482 500000 p16 p34 240 N 
483.0000 M483 500000 t61 t46 240 N 
484.0000 M484 500000 t54 p38 240 N 
485.0000 M485 500000 t60 p27 240 N 
486.0000 M486 500000 p18 p28 240 N 
487.0000 M487 500000 t44 p15 240 N 
488.0000 M488 500000 t64 t55 240 N 
489.0000 M489 500000 t49 t41 240 N 
490.0000 M490 500000 p26 p28 240 N 
491.0000 M491 500000 p19 p24 240 N 
492.0000 M492 500000 p37 p33 240 N 
493.0000 M493 500000 t58 t70 240 N 
494.0000 M494 500000 t56 t57 240 N 
495.0000 M495 500000 t46 p19 240 N 
496.0000 M496 500000 p37 p9 240 N 
497.0000 M497 500000 t70 p37 240 N 
498.0000 M498 500000 p38 p19 240 N 
499.0000 M499 500000 p0 t48 240 N 
500.0000 M500 500000 t71 p11 240 N 
501.0000 M501 500000 t49 p34 240 N 
502.0000 M502 500000 p8 p2 240 N 
503.0000 M503 500000 p36 p15 240 N 
504.0000 M504 500000 p38 t50 240 N 
505.0000 M505 500000 t75 t71 240 N 
506.0000 M506 500000 p10 t50 240 N 
507.0000 M507 500000 t65 t61 240 N 
508.0000 M508 500000 t42 p21 240 N 
509.0000 M509 500000 p23 t75 240 N 
510.0000 M510 500000 t47 p13 240 N 
511.0000 M511 500000 t68 t75 240 N 
512.0000 M512 500000 p31 p22 240 N 
513.0000 M513 500000 t40 p34 240 N 
514.0000 M514 500000 t45 t41 240 N 
515.0000 M515 500000 p24 p30 240 N 
516.0000 M516 500000 t51 t71 240 N 
517.0000 M517 500000 t40 p15 240 N 
518.0000 M518 500000 t53 t48 240 N 
519.0000 M519 500000 t70 p9 240 N 
520.0000 M520 500000 t66 t46 240 N 
521.0000 M521 500000 p6 p39 240 N 
522.0000 M522 500000 t64 t53 240 N 
523.0000 M523 500000 t67 p10 240 N 
524.0000 M524 500000 p17 t52 240 N 
525.0000 M525 500000 p36 p9 240 N 
526.0000 M526 500000 t59 p39 240 N 
527.0000 M527 500000 t51 t48 240 N 
528.0000 M528 500000 t46 p38 240 N 
529.0000 M529 500000 p5 p14 240 N 
530.0000 M530 500000 p16 t40 240 N 
531.0000 M531 500000 p28 p25 240 N 
532.0000 M532 500000 t43 p9 240 N 
533.0000 M533 500000 t47 t77 240 N 
534.0000 M534 500000 t71 p19 240 N 
535.0000 M535 500000 p18 t47 240 N 
536.0000 M536 500000 t53 t65 240 N 
537.0000 M537 500000 p15 p6 240 N 
538.0000 M538 500000 t72 p6 240 N 
539.0000 M539 500000 p25 t65 240 N 
540.0000 M540 500000 t68 p9 240 N 
541.0000 M541 500000 p33 t66 240 N 
542.0000 M542 500000 p16 p3 240 N 
543.0000 M543 500000 t75 p2 240 N 
544.0000 M544 500000 t65 t76 240 N 
545.0000 M545 500000 p23 t49 240 N 
546.0000 M546 500000 p1 p32 240 N 
547.0000 M547 500000 p0 p37 240 N 
548.0000 M548 500000 t42 p6 240 N 
549.0000 M549 500000 p20 t56 240 N 
550.0000 M550 500000 t70 t75 240 N 
551.0000 M551 500000 t51 t44 240 N 
552.0000 M552 500000 p9 p4 240 N 
553.0000 M553 500000 t61 t42 240 N 
554.0000 M554 500000 p33 p13 240 N 
555.0000 M555 500000 p15 t41 240 N 
556.0000 M556 500000 p4 t65 240 N 
557.0000 M557 500000 p20 t75 240 N 
558.0000 M558 500000 p10 p9 240 N 
559.0000 M559 500000 t40 p37 240 N 
560.0000 M560 500000 p26 t62 240 N 
561.0000 M561 500000 p26 t77 240 N 
562.0000 M562 500000 p0 p20 240 N 
563.0000 M563 500000 p3 t68 240 N 
564.0000 M564 500000 p16 p8 240 N 
565.0000 M565 500000 t40 t57 240 N 
566.0000 M566 500000 p23 t40 240 N 
567.0000 M567 500000 p38 t57 240 N 
568.0000 M568 500000 p24 t54 240 N 
569.0000 M569 500000 p30 t47 240 N 
570.0000 M570 500000 p8 t55 240 N 
571.0000 M571 500000 t77 t63 240 N 
572.0000 M572 500000 t53 t55 240 N 
573.0000 M573 500000 t63 p27 240 N 
574.0000 M574 500000 t59 t49 240 N 
575.0000 M575 500000 p13 p12 240 N 
576.0000 M576 500000 p33 t68 240 N 
577.0000 M577 500000 t58 t59 240 N 
578.0000 M578 500000 p3 t45 240 N 
579.0000 M579 500000 p2 p34 240 N 
580.0000 M580 500000 t65 t58 240 N 
