# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1356.5000 M822 500000 1 534.5000 t68 p29 231 N t68->p29
1357.6000 M281 500000 3 1076.6000 p6 t67 222 N p6->p3->p1->t67
1357.7000 M217 500000 3 1140.7000 t60 t67 220 N t60->t72->p1->t67
1357.8000 M1083 500000 3 274.8000 t42 p1 235 N t42->p12->t67->p1
1369.8000 M680 500000 4 689.8000 p23 p20 228 N p23->t42->p12->t44->p20
1372.2000 M1372 500000 1 0.2000 p1 t67 239 N p1->t67
1377.3000 M125 500000 4 1252.3000 t44 p17 219 N t44->t66->t48->t57->p17
1377.4000 M711 500000 2 666.4000 t78 p17 228 N t78->t57->p17
1385.1000 M831 500000 2 554.1000 p23 t74 230 N p23->t65->t74
1386.3000 M278 500000 2 1108.3000 p17 t48 221 N p17->t57->t48
1406.4000 M233 500000 3 1173.4000 t64 p21 220 N t64->p15->p22->p21
1413.9000 M1386 500000 1 27.9000 p34 p26 239 N p34->p26
1421.8000 M734 500000 3 687.8000 t44 p38 228 N t44->p11->p23->p38
1421.9000 M977 500000 3 444.9000 t70 p23 232 N t70->t76->p38->p23
1422.0000 M1390 500000 2 32.0000 p19 p23 239 N p19->p38->p23
1440.1000 M507 500000 4 933.1000 t65 t61 224 N t65->p12->t42->p23->t61
1440.3000 M787 500000 1 653.3000 t61 p23 229 N t61->p23
1440.4000 M248 500000 2 1192.4000 p22 t50 220 N p22->p15->t50
1440.9000 M254 500000 3 1186.9000 p36 p23 220 N p36->t70->t61->p23
1441.0000 M771 500000 3 670.0000 p36 p23 228 N p36->t70->t61->p23
1449.4000 M735 500000 2 714.4000 t66 p19 228 N t66->t61->p19
1470.8000 M114 500000 1 1356.8000 t74 t72 217 N t74->t72
1471.0000 M282 500000 5 1189.0000 p15 t74 220 N p15->t64->p2->t56->t72->t74
1471.1000 M427 500000 4 1044.1000 p6 t74 222 N p6->p3->p1->t72->t74
1482.1000 M165 500000 2 1317.1000 p3 p5 218 N p3->p1->p5
1482.2000 M1127 500000 2 355.2000 p11 p5 234 N p11->p1->p5
1482.4000 M344 500000 3 1138.4000 p36 p5 221 N p36->t72->p1->p5
1482.5000 M432 500000 3 1050.5000 p6 p5 222 N p6->p3->p1->p5
1482.6000 M1229 500000 2 253.6000 p12 p1 235 N p12->p5->p1
1484.0000 M1327 500000 1 157.0000 t45 p24 237 N t45->p24
1495.0000 M693 500000 1 802.0000 t52 p39 226 N t52->p39
1495.1000 M1079 500000 1 416.1000 t52 p39 233 N t52->p39
1495.2000 M207 500000 3 1288.2000 t55 t52 218 N t55->t43->p39->t52
1495.3000 M524 500000 2 971.3000 p17 t52 223 N p17->p39->t52
1497.1000 M608 500000 4 889.1000 t49 p16 225 N t49->p38->t51->p6->p16
1497.3000 M71 500000 3 1426.3000 t60 p16 216 N t60->t59->p6->p16
1497.5000 M153 500000 6 1344.5000 t75 p16 217 N t75->t44->p25->t48->t57->p6->p16
1497.6000 M13 500000 4 1484.6000 t77 p16 215 N t77->p25->t48->p6->p16
1497.8000 M296 500000 3 1201.8000 t61 p16 219 N t61->t51->p6->p16
1509.2000 M935 500000 2 574.2000 p3 t57 230 N p3->t54->t57
1509.4000 M122 500000 5 1387.4000 t58 t54 216 N t58->t46->t76->t70->t57->t54
1509.5000 M1191 500000 2 318.5000 t78 t54 234 N t78->t57->t54
1509.6000 M568 500000 3 941.6000 p24 t54 224 N p24->t48->t57->t54
1509.7000 M110 500000 1 1399.7000 t54 t57 216 N t54->t57
1520.6000 M778 500000 2 742.6000 t70 p0 227 N t70->p36->p0
1520.6000 M621 500000 2 899.6000 p19 t66 225 N p19->p23->t66
1520.7000 M947 500000 3 573.7000 t76 p0 230 N t76->t70->p36->p0
1520.8000 M675 500000 4 845.8000 t49 t66 225 N t49->p38->p19->p23->t66
1532.1000 M1532 500000 1 0.1000 t56 p33 239 N t56->p33
1543.3000 M559 500000 5 984.3000 t40 p37 223 N t40->t47->t61->p23->p38->p37
1545.8000 M1182 500000 2 363.8000 p39 t58 233 N p39->t52->t58
1545.9000 M277 500000 6 1268.9000 p36 t52 218 N p36->t72->t60->t59->p6->t58->t52
1550.8000 M370 500000 5 1180.8000 p9 p39 220 N p9->t70->t76->t58->t52->p39
1556.0000 M526 500000 4 1030.0000 t59 p39 222 N t59->p6->t46->t52->p39
1570.1000 M703 500000 3 867.1000 t49 t63 225 N t49->p38->t51->t63
1570.3000 M1314 500000 2 256.3000 p6 t63 235 N p6->t51->t63
1570.4000 M334 500000 2 1236.4000 p6 t63 219 N p6->t51->t63
1570.5000 M460 500000 5 1110.5000 t57 t63 221 N t57->p9->t70->t61->t51->t63
1570.6000 M940 500000 5 630.6000 t48 t63 229 N t48->t76->t70->t61->t51->t63
1570.8000 M826 500000 5 744.8000 t46 t63 227 N t46->t76->t70->t61->t51->t63
1570.9000 M643 500000 4 927.9000 t78 t51 224 N t78->t77->t73->t63->t51
1571.0000 M1470 500000 2 101.0000 t69 t51 238 N t69->t63->t51
1571.1000 M640 500000 4 931.1000 t72 t51 224 N t72->p13->t73->t63->t51
1571.3000 M668 500000 3 903.3000 t72 t51 224 N t72->p13->t63->t51
1571.4000 M828 500000 4 743.4000 p36 t63 227 N p36->t70->t61->t51->t63
1571.5000 M40 500000 3 1531.5000 t47 t63 214 N t47->p19->t51->t63
1572.0000 M658 500000 2 914.0000 p3 p28 224 N p3->t54->p28
1572.1000 M79 500000 4 1493.1000 t66 p28 215 N t66->t48->t57->t54->p28
1572.2000 M414 500000 4 1158.2000 p12 p28 220 N p12->p9->p3->t54->p28
1576.6000 M588 500000 6 988.6000 t55 t69 223 N t55->t46->t76->t70->t61->t51->t69
1576.8000 M406 500000 4 1170.8000 p9 t69 220 N p9->t70->t61->t51->t69
1576.9000 M48 500000 5 1528.9000 t65 t69 214 N t65->p31->p19->p38->t51->t69
1580.0000 M936 500000 5 644.0000 t58 t73 229 N t58->p6->t51->t63->t69->t73
1596.1000 M16 500000 3 1580.1000 p36 p27 213 N p36->p3->p32->p27
1602.4000 M857 500000 4 745.4000 t76 p18 227 N t76->t70->t57->t54->p18
1602.5000 M426 500000 7 1176.5000 p24 p18 220 N p24->t46->t58->t76->t70->t57->t54->p18
1602.6000 M191 500000 3 1411.6000 t48 p18 216 N t48->t57->t54->p18
1609.3000 M1158 500000 1 451.3000 t64 t66 232 N t64->t66
1609.4000 M120 500000 1 1489.4000 t64 t66 215 N t64->t66
1616.4000 M515 500000 7 1101.4000 p24 p30 221 N p24->t46->t58->t76->p38->p19->p23->p30
1616.5000 M447 500000 2 1169.5000 t65 p30 220 N t65->p23->p30
1616.6000 M222 500000 3 1394.6000 t76 p30 216 N t76->p19->p23->p30
1616.8000 M582 500000 3 1034.8000 p12 p30 222 N p12->t42->p23->p30
1616.9000 M154 500000 1 1462.9000 p30 p23 215 N p30->p23
1617.9000 M702 500000 4 915.9000 t58 p27 224 N t58->t76->t70->p36->p27
1618.5000 M741 500000 4 877.5000 t58 p27 225 N t58->t76->t70->p36->p27
1618.6000 M679 500000 4 939.6000 t46 p27 224 N t46->t76->t70->p36->p27
1618.7000 M645 500000 3 973.7000 t57 p27 223 N t57->t70->p36->p27
1618.9000 M102 500000 3 1516.9000 t76 p27 214 N t76->t70->p36->p27
1620.8000 M200 500000 2 1420.8000 t53 p22 216 N t53->t79->p22
1620.9000 M455 500000 3 1165.9000 p10 p22 220 N p10->t68->t79->p22
1621.0000 M1006 500000 2 615.0000 t68 p22 229 N t68->t79->p22
1626.0000 M364 500000 6 1262.0000 p12 p17 218 N p12->t42->p23->p38->p19->p37->p17
1626.1000 M838 500000 1 788.1000 p37 p17 226 N p37->p17
